等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验
1	100						
2	100						
3	100						
4	100						
5	100						
6	100						
7	100						
8	100						
9	100						
10	100						
11	100						
12	100						
13	100						
14	100						
15	100						
16	100						
17	100						
18	100						
19	100						
20	1000						
21	1000						
22	1000						
23	1000						
24	1000						
25	1000						
26	1000						
27	1000						
28	1000						
29	1000						
30	3000						
31	3000						
32	3000						
33	3000						
34	3000						
35	3000						
36	3000						
37	3000						
38	3000						
39	3000						
40	5000						
41	5000						
42	5000						
43	5000						
44	5000						
45	5000						
46	5000						
47	5000						
48	5000						
49	5000						
50	5000						
51	5000						
52	5000						
53	5000						
54	5000						
55	5000						
56	5000						
57	5000						
58	5000						
59	5000						
60	200000						
61	200000						
62	200000						
63	200000						
64	200000						
65	200000						
66	200000						
67	200000						
68	200000						
69	200000						
70	300000						
71	300000						
72	300000						
73	300000						
74	300000						
75	300000						
76	300000						
77	300000						
78	300000						
79	300000						
80	300000						
81	500000						
82	500000						
83	500000						
84	500000						
85	500000						
86	500000						
87	500000						
88	500000						
89	500000						
90	1000000						
91	1000000						
92	1000000						
93	1000000						
94	1000000						
95	1000000						
96	1000000						
97	1000000						
98	1000000						
99	1000000						
100	2000000						
101	2000000						
102	2000000						
103	2000000						
104	2000000						
105	2000000						
106	2000000						
107	2000000						
108	2000000						
109	2000000						
110	3000000						
111	3000000						
112	3000000						
113	3000000						
114	3000000						
115	3000000						
116	3000000						
117	3000000						
118	3000000						
119	3000000						
120	4000000						
121	4000000						
122	4000000						
123	4000000						
124	4000000						
125	4000000						
126	4000000						
127	4000000						
128	4000000						
129	4000000						
130	5000000			5000	5000	5000	5000
131	5000000			5000	5000	5000	5000
132	5000000			5000	5000	5000	5000
133	5000000			5000	5000	5000	5000
134	5000000			5000	5000	5000	5000
135	5000000			5000	5000	5000	5000
136	5000000			5000	5000	5000	5000
137	5000000			5000	5000	5000	5000
138	5000000			5000	5000	5000	5000
139	5000000			5000	5000	5000	5000
140	7000000			5000	5000	5000	5000
141	7000000			5000	5000	5000	5000
142	7000000			5000	5000	5000	5000
143	7000000			5000	5000	5000	5000
144	7000000			5000	5000	5000	5000
145	7000000			5000	5000	5000	5000
146	7000000			5000	5000	5000	5000
147	7000000			5000	5000	5000	5000
148	7000000			5000	5000	5000	5000
149	7000000			5000	5000	5000	5000
150	7000000			5000	5000	5000	5000
151	20000000		1000	5000	7000	8000	10000
152	20000000		1000	5000	7000	8000	10000
153	20000000		1000	5000	7000	8000	10000
154	20000000		1000	5000	7000	8000	10000
155	20000000		1000	5000	7000	8000	10000
156	40000000		1000	5000	7000	8000	10000
157	40000000		1000	5000	7000	8000	10000
158	40000000		1000	5000	7000	8000	10000
159	40000000		1000	5000	7000	8000	10000
160	40000000		1000	5000	7000	8000	10000
161	40000000		1000	5000	7000	8000	10000
162	40000000		1000	5000	7000	8000	10000
163	40000000		1000	5000	7000	8000	10000
164	40000000		1000	5000	7000	8000	10000
165	40000000		1000	5000	7000	8000	10000
166	80000000		1000	5000	7000	8000	10000
167	80000000		1000	5000	7000	8000	10000
168	80000000		1000	5000	7000	8000	10000
169	80000000		1000	5000	7000	8000	10000
170	80000000		1000	5000	7000	8000	10000
171	180000000		7000	10000	15000	20000	30000
172	180000000		7000	10000	15000	20000	30000
173	180000000		7000	10000	15000	20000	30000
174	180000000		7000	10000	15000	20000	30000
175	180000000		7000	10000	15000	20000	30000
176	180000000		7000	10000	15000	20000	30000
177	180000000		7000	10000	15000	20000	30000
178	180000000		7000	10000	15000	20000	30000
179	180000000		7000	10000	15000	20000	30000
180	180000000		7000	10000	15000	20000	30000
181	180000000		7000	10000	15000	20000	30000
182	180000000		7000	10000	15000	20000	30000
183	180000000		7000	10000	15000	20000	30000
184	180000000		7000	10000	15000	20000	30000
185	180000000		7000	10000	15000	20000	30000
186	180000000		7000	10000	15000	20000	30000
187	180000000		7000	10000	15000	20000	30000
188	180000000		7000	10000	15000	20000	30000
189	180000000		7000	10000	15000	20000	30000
190	180000000		12000	15000	20000	32000	50000
191	180000000		12000	15000	20000	32000	50000
192	180000000		12000	15000	20000	32000	50000
193	180000000		12000	15000	20000	32000	50000
194	180000000		12000	15000	20000	32000	50000
195	180000000		12000	15000	20000	32000	50000
196	180000000		12000	15000	20000	32000	50000
197	180000000		12000	15000	20000	32000	50000
198	180000000		12000	15000	20000	32000	50000
199	180000000		12000	15000	20000	32000	50000
200	180000000		12000	15000	20000	32000	50000
