[Normal]Item: ËéÔÂµ¶(0,0,1,1,0,10), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,1,7), unbind = 0, bind = 0
[Normal]Item: ËéÔÂµ¶(0,0,1,1,3,10), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,0,7), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,3,7), unbind = 0, bind = 0
[Normal]Item: ¹â¸Ëµ¶(0,0,1,1,1,7), unbind = 0, bind = 0
[Normal]Item: °ÔÍ?ïÚ(0,0,1,0,2,10), unbind = 0, bind = 0
[Normal]Item: ¿×È¸ôá(0,0,1,2,1,10), unbind = 0, bind = 0
[Normal]Item: Öî¸?åó(0,0,1,2,2,9), unbind = 0, bind = 0
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Enchasable]Item: (0,2,1,2,1,10),¼Ó¹¥»÷ËÙ¶È=(30,0),ÃâÒßÑ£ÔÎ×´Ì¬=(40,0),ÍµÑª=(10,0),¼Ó¶¾ÉËº¦=(50,0),ÍµÄÚÁ¦=(10,0),¼ÓÔËÆø=(10,0), unbind = 0, bind = 0
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Normal]Item: ×Ï??Ö®ÇàÎíÏÂ½ä(0,1,1963,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí×¹(0,1,1962,1,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÂÄ(0,1,1961,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí?ä¼?(0,1,1960,2,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí¼×?Â(0,1,1959,3,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÊøÑü(0,1,1958,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí»¤Íó(0,1,1957,1,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÉÏ½ä(0,1,1956,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí¹Ú(0,1,1955,3,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÏîÁ´(0,1,1954,1,4,10), unbind = 0, bind = 1200
[Normal]Item: °ÔÍ?ïÚ(0,0,1,0,1,10), unbind = 0, bind = 0
[Normal]Item: ¿×È¸ôá(0,0,1,2,0,10), unbind = 0, bind = 0
[Normal]Item: ???ú½£(0,0,0,0,1,10), unbind = 0, bind = 0
[Normal]Item: ?Ä?âµ¶(0,0,1,1,0,8), unbind = 0, bind = 0
[Normal]Item: ´ø?Âµ¶(0,0,1,1,4,5), unbind = 0, bind = 0
[Normal]Item: Ä?Áú´¸(0,0,0,4,1,9), unbind = 0, bind = 0
[Normal]Item: »??ú°ô(0,0,0,2,2,8), unbind = 0, bind = 0
[Normal]Item: Í?Ø?½£(0,0,0,0,4,9), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: ÇïÓêµ¶(0,0,0,5,4,9), unbind = 0, bind = 0
[Normal]Item: Ñ?ôáÇ¹(0,0,0,3,2,7), unbind = 0, bind = 0
[Normal]Item: Öî¸?åó(0,0,1,2,4,9), unbind = 0, bind = 0
[Normal]Item: ¹öÖé±¦µ¶(0,0,0,1,2,7), unbind = 0, bind = 0
[Normal]Item: Æß³ß½£(0,0,0,0,2,8), unbind = 0, bind = 0
[Normal]Item: Í¸¹ÇÇ¹(0,0,0,3,2,8), unbind = 0, bind = 0
[Normal]Item: ´äÁñÊ¯½äÖ¸(0,0,3,0,2,5), unbind = 0, bind = 0
[Normal]Item: ¹öÖé±¦µ¶(0,0,0,1,0,7), unbind = 0, bind = 0
[Normal]Item: À¶±¦Ê¯½äÖ¸(0,0,3,0,1,9), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,0,7), unbind = 0, bind = 0
[Normal]Item: ´äÁñÊ¯½äÖ¸(0,0,3,0,4,5), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: º?±¦Ê¯½äÖ¸(0,0,3,0,2,8), unbind = 0, bind = 0
[Normal]Item: ´äÁñÊ¯½äÖ¸(0,0,3,0,4,5), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,0,7), unbind = 0, bind = 0
[Normal]Item: À¶±¦Ê¯½äÖ¸(0,0,3,0,1,9), unbind = 0, bind = 0
[Normal]Item: ¹öÖé±¦µ¶(0,0,0,1,0,7), unbind = 0, bind = 0
[Normal]Item: ´äÁñÊ¯½äÖ¸(0,0,3,0,2,5), unbind = 0, bind = 0
[Normal]Item: Í¸¹ÇÇ¹(0,0,0,3,2,8), unbind = 0, bind = 0
[Normal]Item: Æß³ß½£(0,0,0,0,2,8), unbind = 0, bind = 0
[Normal]Item: ¹öÖé±¦µ¶(0,0,0,1,2,7), unbind = 0, bind = 0
[Normal]Item: Öî¸?åó(0,0,1,2,4,9), unbind = 0, bind = 0
[Normal]Item: Ñ?ôáÇ¹(0,0,0,3,2,7), unbind = 0, bind = 0
[Normal]Item: ÇïÓêµ¶(0,0,0,5,4,9), unbind = 0, bind = 0
[Normal]Item: ÉÙÁÖÁÁ?ø·ÉïÚ(0,0,1,0,2,7), unbind = 0, bind = 0
[Normal]Item: Í?Ø?½£(0,0,0,0,4,9), unbind = 0, bind = 0
[Normal]Item: »??ú°ô(0,0,0,2,2,8), unbind = 0, bind = 0
[Normal]Item: Ä?Áú´¸(0,0,0,4,1,9), unbind = 0, bind = 0
[Normal]Item: ´ø?Âµ¶(0,0,1,1,4,5), unbind = 0, bind = 0
[Normal]Item: ?Ä?âµ¶(0,0,1,1,0,8), unbind = 0, bind = 0
[Normal]Item: ???ú½£(0,0,0,0,1,10), unbind = 0, bind = 0
[Normal]Item: ¿×È¸ôá(0,0,1,2,0,10), unbind = 0, bind = 0
[Normal]Item: °ÔÍ?ïÚ(0,0,1,0,1,10), unbind = 0, bind = 0
[Normal]Item: ×Ï??Ö®ÇàÎíÏîÁ´(0,1,1954,1,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí¹Ú(0,1,1955,3,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÉÏ½ä(0,1,1956,0,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí»¤Íó(0,1,1957,1,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÊøÑü(0,1,1958,0,3,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí¼×?Â(0,1,1959,3,4,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí?ä¼?(0,1,1960,2,0,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÂÄ(0,1,1961,1,2,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎí×¹(0,1,1962,1,1,10), unbind = 0, bind = 1200
[Normal]Item: ×Ï??Ö®ÇàÎíÏÂ½ä(0,1,1963,0,3,10), unbind = 0, bind = 1200
[Normal]Item: Siªu Quang(0,1,4365,13,5,10), unbind = 0, bind = 30000
[Enchasable]Item: (0,2,1,2,1,10),¼Ó¹¥»÷ËÙ¶È=(30,0),ÃâÒßÑ£ÔÎ×´Ì¬=(40,0),ÍµÑª=(10,0),¼Ó¶¾ÉËº¦=(50,0),ÍµÄÚÁ¦=(10,0),¼ÓÔËÆø=(10,0), unbind = 0, bind = 0
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½?µñÁú½ä(0,1,493,0,3,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×ÓñÇ¬À¤Åå(0,1,494,1,4,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®°×½??â·ï½ä(0,1,495,0,0,10), unbind = 0, bind = 100
[Normal]Item: [¼«Æ·µÄ]¶´²?Ö®ôä´äÓñÏîÈ¦(0,1,496,1,2,10), unbind = 0, bind = 100
[Normal]Item: Öî¸?åó(0,0,1,2,2,9), unbind = 0, bind = 0
[Normal]Item: ¿×È¸ôá(0,0,1,2,1,10), unbind = 0, bind = 0
