Tên C?p Ð?	??ã??°ìº	??éé??é??ê?ú	Phân lo?i c?p d?	Mã thu?c tính option	giá tr? nh? nh?t	Giá tr? cao nh?t	²??ý2ì?éA?à	²??ý2ì?´ú?à	²??ý3ì?éA?à	²??ý3ì?´ú?à	Tên thu?c tính option	t? l? th?p nh?t	t? l? cao nh?t	¿??ì	???á	??Á´	?Oì?	??´?	Íã¿?	?ÔÍú	??ì?	Â?
Thanh Ð?ng 	1		1	126	5	10	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Xích Ð?ng 	1		2	126	10	20	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Sinh Thi?t	1		3	126	20	30	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Tinh Cang	1		4	126	30	40	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
B?ch Ngân	1		5	126	40	50	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Thu?n Ngân	1		6	126	50	60	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Hoàng Kim	1		7	126	60	70	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
B?ch Kim	1		8	126	70	80	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
V?n Thi?t	1		9	126	80	90	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Huy?n Thi?t	1		10	126	90	100	-1	-1	6	6	Tang hi?u qu? sát thuong	100000	100000	0	0	0	0	0	0	0	0	0
Mui nh?n	1		1	166	10	30	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Ð?p d?	1		2	166	30	60	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Võ si 	1		3	166	60	90	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Hi?p khách	1		4	166	90	120	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
Bá ch? 	1		5	166	120	150	-1	-1	0	0	Tang chính xác	300000	300000	0	0	0	0	0	0	0	0	0
